id;name;original_language;first_air_date;production_companies[0].name;production_companies[1].name;production_companies[2].name
392;Webdreams;en;24/09/2005;-;-;-
393;Patent Bending;en;22/08/2006;-;-;-
394;Animal Cops: Detroit;;12/12/2012;-;-;-
395;WWE Bottom Line;en;24/05/2002;-;-;-
396;The District;en;07/10/2000;Cinemaline Productions;Di Novi Pictures;CBS Productions
397;The Dukes of Hazzard;en;26/01/1979;-;-;-
398;The Last Train;en;07/04/1999;Granada Television;Chum Television;-
399;Soccer AM;en;12/08/1995;-;-;-
400;Shark;en;21/09/2006;Imagine Television;20th Century Fox Television;-
401;Airport;en;02/05/1996;-;-;-
402;Still Standing;en;30/09/2002;-;-;-
403;Eureeka's Castle;en;12/12/2012;-;-;-
404;Fimbles;;12/12/2012;-;-;-
405;WWE Afterburn;en;25/05/2002;-;-;-
406;Ӕon Flux;en;01/09/1991;Colossal Pictures;MTV Animation;MTV
407;Sugar Rush;en;07/06/2005;Shine TV;-;-
408;This Is Paris;en;12/12/2012;-;-;-
409;Animal Cops: Phoenix;;12/12/2012;-;-;-
410;Seijuu Sentai Gingaman;ja;22/02/1998;Toei Company;-;-
411;Beyond Westworld;en;05/03/1980;MGM Television;-;-
412;The Hot List;en;12/12/2012;-;-;-
413;WCW WorldWide;en;12/12/2012;-;-;-
414;Call to Greatness;en;03/04/2006;Liquid Theory;-;-
415;Kool Ka Lang;en;12/12/2012;-;-;-
416;Harvey Birdman, Attorney at Law;en;30/12/2000;Williams Street;Turner Studios;-
417;The Class;en;18/09/2006;CraneKlarik;Warner Bros. Television;-
418;A Pup Named Scooby-Doo;en;10/09/1988;Hanna-Barbera Productions;-;-
419;World Shut Your Mouth;en;07/01/2005;-;-;-
420;Whatever Happened to the Likely Lads?;;12/12/2012;-;-;-
421;WCW Pro;en;12/03/1994;-;-;-
422;Live & Kicking;;12/12/2012;-;-;-
423;I Luv NY;en;12/12/2012;-;-;-
424;Torchwood;en;22/10/2006;BBC Worldwide;BBC Wales;-
425;It Ain't Half Hot Mum;en;03/01/1974;-;-;-
426;The Buzz on Maggie;en;07/06/2005;-;-;-
427;Clean Sweep;en;13/09/2003;-;-;-
428;Arnie;;12/12/2012;-;-;-
429;Corner Gas;en;22/01/2004;Three Thirty-Five Productions;Vérité Films;CTV
430;The Adventures of Sam & Max: Freelance Police;en;04/10/1997;Nelvana;-;-
431;One on One;en;03/09/2001;-;-;-
432;Police Surgeon;en;10/09/1960;-;-;-
433;Terminator: The Sarah Connor Chronicles;en;13/01/2008;The Halcyon Company;Warner Bros. Television;-
434;Big News;en;12/12/2012;-;-;-
435;Hi Hi Puffy Bu;en;12/12/2012;-;-;-
436;Still Game;en;06/09/2002;BBC Scotland;Comedy Unit;-
437;Mr. Belvedere;en;15/03/1985;-;-;-
438;The OUTHouse;en;12/12/2012;-;-;-
439;Maggi & Me;en;12/12/2012;-;-;-
440;Salute Your Shorts;en;04/07/1991;Propaganda Films;Nickelodeon Productions;-
441;Father of the Pride;en;31/08/2004;DreamWorks Television;-;-
442;Castaway 2007;en;12/12/2012;-;-;-
443;Ghost Hunters;en;06/10/2004;Pilgrim Studios;-;-
444;The Evidence;en;22/03/2006;-;-;-
445;So You Wanna Be a Popstar?;en;12/12/2012;-;-;-
446;The Life and Times of Juniper Lee;en;30/05/2005;-;-;-
447;Unan1mous;en;22/03/2006;-;-;-
448;The Finder;en;28/10/1991;South Australian Film Corporation;-;-
449;Rosie and Jim;en;12/12/2012;Ragdoll Productions;-;-
450;Island at War;en;11/07/2004;-;-;-
451;Aquila;en;02/12/1997;-;-;-
452;Kung Faux;en;12/12/2012;-;-;-
453;Mister Ed;en;05/01/1961;Filmways Television;The Mister Ed Company;-
454;Totally Doctor Who;en;13/04/2006;CBBC;-;-
455;In a Fix;en;17/01/2004;NorthSouth Productions;-;-
456;The Simpsons;;12/12/2012;-;-;-
457;3 News;en;12/12/2012;-;-;-
458;Football Friday;en;12/12/2012;-;-;-
459;Becky and Barnaby Bear;en;12/12/2012;-;-;-
460;Jonovision;en;12/12/2012;-;-;-
461;Tots TV;en;04/01/1993;-;-;-
462;Most Haunted;en;25/05/2002;-;-;-
